Normal	DSS	MHs	CMHs
ASV_881	ASV_1046	ASV_1125	ASV_963
ASV_882	ASV_1048	ASV_1144	ASV_964
ASV_883	ASV_1051	ASV_1145	ASV_976
ASV_889	ASV_1052	ASV_1148	ASV_984
ASV_890	ASV_1053	ASV_1166	ASV_985
ASV_891	ASV_1054	ASV_1167	ASV_989
ASV_892	ASV_1055	ASV_1168	ASV_990
ASV_901	ASV_1056	ASV_1176	ASV_991
ASV_902	ASV_1057	ASV_1180	ASV_992
ASV_903	ASV_1072	ASV_1181	ASV_1012
ASV_910	ASV_1073	ASV_1182	ASV_1014
ASV_911	ASV_1074	ASV_1188	ASV_1015
ASV_912	ASV_1075	ASV_1189	ASV_1016
ASV_926	ASV_1094	ASV_1190	ASV_1017
ASV_927	ASV_1097	ASV_1191	ASV_1024
ASV_928	ASV_1098	ASV_1192	ASV_1025
ASV_929	ASV_1099	ASV_1197	ASV_1026
ASV_930	ASV_1100	ASV_1199	ASV_1033
ASV_931	ASV_1101	ASV_1208	ASV_1034
ASV_932	ASV_1112	ASV_1220	ASV_1035
ASV_943	ASV_1130	ASV_1223	ASV_1036
ASV_944	ASV_1131	ASV_1224	ASV_1037
ASV_955	ASV_1138	ASV_1232	ASV_1042
ASV_956	ASV_1139	ASV_1233	ASV_1046
ASV_957	ASV_1140	ASV_1235	ASV_1047
ASV_958	ASV_1141	ASV_1249	ASV_1048
ASV_959	ASV_1142	ASV_1250	ASV_1049
ASV_960	ASV_1143	ASV_1251	ASV_1050
ASV_961	ASV_1157	ASV_1252	ASV_1051
ASV_969	ASV_1158	ASV_1253	ASV_1060
ASV_970	ASV_1159	ASV_1254	ASV_1061
ASV_971	ASV_1160	ASV_1255	ASV_1062
ASV_972	ASV_1161	ASV_1256	ASV_1065
ASV_973	ASV_1162	ASV_1262	ASV_1067
ASV_974	ASV_1163	ASV_1264	ASV_1068
ASV_975	ASV_1164	ASV_1267	ASV_1069
ASV_976	ASV_1165	ASV_1268	ASV_1070
ASV_981	ASV_1176	ASV_1274	ASV_1071
ASV_982	ASV_1184	ASV_1280	ASV_1078
ASV_983	ASV_1185	ASV_1285	ASV_1079
ASV_984	ASV_1186	ASV_1291	ASV_1081
ASV_985	ASV_1187	ASV_1292	ASV_1087
ASV_986	ASV_1197	ASV_1293	ASV_1088
ASV_987	ASV_1221	ASV_1294	ASV_1089
ASV_988	ASV_1222	ASV_1295	ASV_1090
ASV_1006	ASV_1243	ASV_1296	ASV_1091
ASV_1007	ASV_1244	ASV_1297	ASV_1092
ASV_1008	ASV_1245	ASV_1305	ASV_1093
ASV_1009	ASV_1246	ASV_1306	ASV_1094
ASV_1010	ASV_1247	ASV_1312	ASV_1095
ASV_1011	ASV_1248	ASV_1320	ASV_1096
ASV_1012	ASV_1261	ASV_1327	ASV_1107
ASV_1013	ASV_1268	ASV_1328	ASV_1108
ASV_1021	ASV_1269	ASV_1329	ASV_1109
ASV_1022	ASV_1274	ASV_1332	ASV_1110
ASV_1023	ASV_1281	ASV_1345	ASV_1111
ASV_1024	ASV_1285	ASV_1351	ASV_1119
ASV_1025	ASV_1286	ASV_1364	ASV_1123
ASV_1026	ASV_1287	ASV_1367	ASV_1125
ASV_1027	ASV_1288	ASV_1380	ASV_1126
ASV_1028	ASV_1289	ASV_1381	ASV_1127
ASV_1029	ASV_1290	ASV_1382	ASV_1128
ASV_1030	ASV_1322	ASV_1383	ASV_1129
ASV_1031	ASV_1323	ASV_1384	ASV_1130
ASV_1032	ASV_1324	ASV_1385	ASV_1131
ASV_1042	ASV_1325	ASV_1386	ASV_1132
ASV_1043	ASV_1326	ASV_1387	ASV_1133
ASV_1044	ASV_1363	ASV_1388	ASV_1134
ASV_1045	ASV_1364	ASV_1389	ASV_1135
ASV_1046	ASV_1368	ASV_1391	ASV_1136
ASV_1059	ASV_1369	ASV_1403	ASV_1137
ASV_1060	ASV_1370	ASV_1424	ASV_1138
